index,id,title,genres,overview,release_date,credits,poster_path
15393,328589,The Lady in the Van,Comedy Drama,The true story of the relationship between Alan Bennett and the singular Miss Shepherd a woman of uncertain origins who ‘temporarily’ parked her van in Bennett’s London driveway and proceeded to live there for 15 years.,2015-10-30,MaggieSmith AlexJennings FrancesdelaTour GwenTaylor DominicCooper,/sqz4CGInI1bysFH674HYWtQSmYn.jpg
15397,11141,Laws of Attraction,Comedy Romance,Amidst a sea of litigation two New York City divorce lawyers find love.,2004-04-04,PierceBrosnan JulianneMoore MichaelSheen ParkerPosey FrancesFisher,/6aqR0xwmK0mPOIVShDlT88Vo5W0.jpg
15407,483184,Dogman,Crime Drama Thriller,Marcello a small and gentle dog groomer finds himself involved in a dangerous relationship of subjugation with Simone a former violent boxer who terrorizes the entire neighborhood. In an effort to reaffirm his dignity Marcello will submit to an unexpected act of vengeance.,2018-05-17,MarcelloFonte EdoardoPesce NunziaSchiano AdamoDionisi FrancescoAcquaroli,/eaZq1G8sJHv9f9a5IzioQlS3REX.jpg
15412,14536,New in Town,Comedy Romance,Lucy Hill is an ambitious up-and-coming executive living in Miami. She loves her shoes she loves her cars and she loves climbing the corporate ladder. When she is offered a temporary assignment — in the middle of nowhere — to restructure a manufacturing plant she jumps at the opportunity knowing that a big promotion is close at hand. What begins as a straightforward assignment becomes a life-changing experience as Lucy discovers greater meaning in her life and most unexpectedly the man of her dreams.,2009-01-30,RenéeZellweger HarryConnickJr. J.K.Simmons SiobhanFallonHogan MikeO'Brien,/zKQTQ2mmihtk8vwhE3pdfbOwljC.jpg
15417,297160,XX,Horror,This all-female horror anthology features four dark tales from four fiercely talented women.,2017-02-17,NatalieBrown MelanieLynskey BreedaWool ChristinaKirk SheilaVand,/drcIFTEIBnWI4G3OQt6rXOI8hf4.jpg
15441,84334,Searching for Sugar Man,Music Documentary,Two South Africans set out to discover what happened to their unlikely musical hero the mysterious 1970s rock 'n' roller Rodriguez. The film won Best Documentary at the 85th Academy Awards.,2012-06-30,StephenSegerman Rodriguez ReganRodriguez EvaRodriguez MikeTheodore,/3NpWidWIw0cQAzmNHWgu9dqaJ7v.jpg
15451,398920,He Even Has Your Eyes,Comedy,Paul is married to Sali. Everything would be fine if they could get a child. Until the day when Sali receives the call that they have been waiting for so long: their adoption file is approved. He is adorable he is 6 months old his name is Benjamin. He is blond with blue eyes and white. They - are black.,2017-01-18,LucienJean Baptiste AïssaMaïga ZabouBreitman VincentElbaz,/3BaBN3ofPR39OVP7AZmSZFVXx6D.jpg
15457,11648,Must Love Dogs,Romance Comedy,Sarah Nolan is a newly divorced woman cautiously rediscovering romance with the enthusiastic but often misguided help of her well-meaning family. As she braves a series of hilarious disastrous mismatches and first dates Sarah begins to trust her own instincts again and learns that no matter what it's never a good idea to give up on love.,2005-07-21,DianeLane JohnCusack ElizabethPerkins ChristopherPlummer DermotMulroney,/252PdRj3y2S05DC4oSf2qk2vva3.jpg
15458,506,Marnie,Crime Drama Mystery Romance Thriller,Marnie is a thief a liar and a cheat. When her new boss Mark Rutland catches on to her routine kleptomania she finds herself being blackmailed.,1964-07-17,TippiHedren SeanConnery MartinGabel DianeBaker LouiseLatham,/nRRy4VO2A3Py7wiZBPz11PAlogp.jpg
15480,84194,Excision,Drama Horror,Alienated teen Pauline struggles with the pressures of fitting into high school pleasing her mother and a burning desire to lose her virginity. With a grotesque curiosity for the darker side of life Pauline is considered a social outcast by everyone around her. Enticed by flesh she retreats into her own fantasies and hopes to become a great surgeon - that is if she doesn't go insane first.,2012-09-12,AnnaLynneMcCord TraciLords ArielWinter RogerBart JeremySumpter,/3aLgB6FTQlNanER0RpckbKdwyh9.jpg
15481,48415,Welcome to the South,Comedy,Alberto (Claudio Bisio) post office manager of a small town in Brianza under pressure of his wife Sylvia (Angela Finocchiaro) is willing to do anything to get the transfer to Milan. Even pretending to be disabled to climb in the ranking. But the trick does not work and as punishment he is transferred in a small town in Campania which to an inhabitant of the north is equivalent to a nightmare ...,2010-10-01,ClaudioBisio AlessandroSiani AngelaFinocchiaro ValentinaLodovini NandoPaone,/ozz9wXdA7DLHlzxuqjbT43N2bM1.jpg
15492,38073,Going the Distance,Comedy Drama Romance,Erin and Garrett are very much in love. When Erin moves to San Francisco to finish her journalism degree and Garrett stays behind in New York to work in the music industry they gamely keep the romance alive with webcams and frequent-flyer miles. But just when it seems the lovers will soon be reunited they each score a big break that could separate them for good.,2010-08-27,DrewBarrymore JustinLong CharlieDay JasonSudeikis ChristinaApplegate,/tTllmSew3nsizpzWNWKUkOuANhm.jpg
15493,851,Brief Encounter,Drama Romance,Returning home from a shopping trip to a nearby town bored suburban housewife Laura Jesson is thrown by happenstance into an acquaintance with virtuous doctor Alec Harvey. Their casual friendship soon develops during their weekly visits into something more emotionally fulfilling than either expected and they must wrestle with the potential havoc their deepening relationship would have on their lives and the lives of those they love.,1945-11-24,CeliaJohnson TrevorHoward StanleyHolloway JoyceCarey CyrilRaymond,/jC9EwLJcGhYMSQAHu2LxkKN5v7O.jpg
15497,14696,Ugetsu,Fantasy Drama Mystery,In 16th century Japan peasants Genjuro and Tobei sell their earthenware pots to a group of soldiers in a nearby village in defiance of a local sage's warning against seeking to profit from warfare. Genjuro's pursuit of both riches and the mysterious Lady Wakasa as well as Tobei's desire to become a samurai run the risk of destroying both themselves and their wives Miyagi and Ohama.,1953-03-26,MachikoKyō MitsukoMito KinuyoTanaka MasayukiMori EitarōOzawa,/7Kk1ZsrAul2Lg7Pe45XOcUf2ARQ.jpg
15506,400411,Satanic,Horror Mystery Thriller,Four friends on their way to Coachella stop off in Los Angeles to tour true-crime occult sites only to encounter a mysterious young runaway who puts them on a terrifying path to ultimate horror.,2016-07-01,SarahHyland ClaraMamet StevenKrueger JustinChon SophieDalah,/mBcVVf4AoCO8rn97H335UIjQgmI.jpg
15507,988,The China Syndrome,Drama Thriller,While doing a series of reports on alternative energy sources opportunistic reporter Kimberly Wells witnesses an accident at a nuclear power plant. Wells is determined to publicize the incident but soon finds herself entangled in a sinister conspiracy to keep the full impact of the incident a secret.,1979-03-16,JaneFonda JackLemmon MichaelDouglas ScottBrady JamesHampton,/uHwwQIlt4XwpTFhX9ZT1A8xSW7F.jpg
15508,99,All About My Mother,Comedy Drama,Following the tragic death of her teenage son Manuela travels from Madrid to Barcelona in an attempt to contact the long-estranged father the boy never knew. She reunites with an old friend an outspoken transgender sex worker and befriends a troubled actress and a pregnant HIV-positive nun.,1999-04-16,CeciliaRoth MarisaParedes CandelaPeña AntoniaSanJuan PenélopeCruz,/hjQhzhkGYXPNM96k0mOgob6HMmn.jpg
15520,9372,Super Size Me,Documentary,Morgan Spurlock subjects himself to a diet based only on McDonald's fast food three times a day for thirty days without exercising to try to prove why so many Americans are fat or obese. He submits himself to a complete check-up by three doctors comparing his weight along the way resulting in a scary conclusion.,2004-01-17,MorganSpurlock DarylIsaacs LisaGanjhu StephenSiegel BridgetBennett,/wf4Wf8tPcPGxVqMW4WVy8loFneO.jpg
15524,118957,Bait,Action Horror Thriller,A freak tsunami traps shoppers at a coastal Australian supermarket inside the building ... along with a 12-foot great white shark.,2012-09-05,SharniVinson PhoebeTonkin JulianMcMahon AlexRussell XavierSamuel,/e2OIr4y90ZZjIRWQ0XBOVzpBn4x.jpg
15525,37931,MacGruber,Action Comedy,Ex-special operative MacGruber is called back into action to take down his archenemy Dieter Von Cunth who's in possession of a nuclear warhead and bent on destroying Washington DC.,2010-05-21,WillForte KristenWiig RyanPhillippe ValKilmer PowersBoothe,/9cO8JD7aaQzI4q8lBS8MYXH8LrJ.jpg
15526,110398,No,Drama History,In 1988 Chilean military dictator Augusto Pinochet due to international pressure is forced to call a plebiscite on his presidency. The country will vote ‘Yes’ or ‘No’ to Pinochet extending his rule for another eight years. Opposition leaders for the ‘No’ vote persuade a brash young advertising executive René Saavedra to spearhead their campaign. Against all odds with scant resources and while under scrutiny by the despot’s minions Saavedra and his team devise an audacious plan to win the election and set Chile free.,2012-08-09,GaelGarcíaBernal AlfredoCastro NéstorCantillana LuisGnecco AntoniaZegers,/Aqp4PH27zI4Uqqag41y2gXwmXma.jpg
15532,318224,Going Clear: Scientology and the Prison of Belief,Documentary,GOING CLEAR intimately profiles eight former members of the Church of Scientology shining a light on how they attract true believers and the things they do in the name of religion.,2015-01-25,PaulHaggis JasonBeghe AlexGibney LawrenceWright SherryStringfield,/zWHQYR9srde9nZjU6Dot8qTjoni.jpg
15541,630220,18 Presents,Drama Fantasy,Elisa is only forty when an incurable disease takes her from her husband and their daughter. Before her heart stops Elisa finds a way to stay close to her: a gift for every birthday up to her adult age 18 gifts to try to accompany her child's growth year after year.,2020-01-02,VittoriaPuccini BenedettaPorcaroli EdoardoLeo SaraLazzaro MarcoMesseri,/lS7lqDT3NF2LcSPdxXNJY9pMxZ6.jpg
15542,2086,Nick of Time,Thriller Crime Action,An unimpressive every-day man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.,1995-11-22,JohnnyDepp CourtneyChase CharlesS.Dutton ChristopherWalken RomaMaffia,/A1FJwUVg84sQSjHVz5jVMXQvifJ.jpg
15546,26317,Man with a Movie Camera,Documentary,A cameraman wanders around Moscow Kharkiv Kyiv and Odesa with a camera slung over his shoulder documenting urban life with dazzling invention. Man with a Movie Camera is one of the major manifestos of the world cinema avant-garde. According to the aesthetic principles of Vertov the film was not based on a script. In Man with a Movie Camera Vertov implemented experiments that he carried out for many years and theoretical developments in cinematography and editing turning the film into a film-making methodological guide for subsequent generations of directors. The camera of a talented cinematographer Mikhail Kaufman captures the motley life of Ukrainian megalopolises – Odesa Kharkiv and Kyiv – under New Economic Policy.,1929-01-08,MikhailKaufman,/Ded5Kl7MDZQTbFpoNI62tLVWUN.jpg
15555,515248,Someone Great,Comedy Romance,An aspiring music journalist lands her dream job and is about to move to San Francisco when her boyfriend of nine years decides to call it quits. To nurse her broken heart she and her two best friends spend one outrageous last adventure in New York City.,2019-04-19,GinaRodriguez BrittanySnow DeWandaWise PeterVack RuPaul,/tENpQ0eU2fDhsh6HyPv9O1GddBW.jpg
15556,88042,Parental Guidance,Comedy,Artie and Diane agree to look after their three grandkids when their type-A helicopter parents need to leave town for work. Problems arise when the kids' 21st-century behavior collides with Artie and Diane's old-school methods.,2012-12-25,BillyCrystal BetteMidler MarisaTomei TomEverettScott BaileeMadison,/yv9rgYbe1AyOuLoOO5EEbXJaVMr.jpg
15558,145197,Upstream Color,Drama Science Fiction,A man and woman are drawn together entangled in the lifecycle of an ageless organism. Identity becomes an illusion as they struggle to assemble the loose fragments of wrecked lives.,2013-04-05,AmySeimetz ShaneCarruth AndrewSensenig ThiagoMartins CarolynKing,/nkUl1D1KbqW5ux9cAbSxU5f7hOy.jpg
15564,21629,Stir Crazy,Comedy,New Yorkers Skip Donahue and Harry Monroe have no jobs and no prospects so they decide to flee the city and find work elsewhere landing jobs wearing woodpecker costumes to promote the opening of a bank. When their feathery costumes are stolen and used in a bank robbery they no longer have to worry about employment — they're sent to prison.,1980-12-12,GeneWilder RichardPryor GeorgStanfordBrown JoBethWilliams MiguelÁngelSuárez,/ehCdQewg9SxjhnimJrKwNKbr80C.jpg
15593,74306,God Bless America,Comedy Drama,Fed up with the cruelty and stupidity of American culture an unlikely duo goes on a killing spree killing reality TV stars bigots and others they find repugnant.,2011-09-09,JoelMurray TaraLynneBarr AlexieGilmore MackenzieBrookeSmith TravisWester,/jEyiGve8BLOCvi8R2tL8H52aLp4.jpg
15596,29455,Winter Light,Drama,A Swedish pastor fails a loving woman a suicidal fisherman and God.,1963-02-11,GunnarBjörnstrand IngridThulin GunnelLindblom MaxvonSydow AllanEdwall,/wDxrEssdjFWYwIZLbr06RQNcg1q.jpg
15598,604563,OSS 117: From Africa with Love,Comedy Adventure Action,1981. Hubert Bonisseur de la Bath aka OSS 117 is back. For this new mission - more delicate more dangerous and more torrid than ever - he is forced to team up with a young new colleague the promising OSS 1001.,2021-08-04,JeanDujardin PierreNiney WladimirYordanoff FatouN'Diaye NatachaLindinger,/8KZun0DjBSVJtAEb7ytNKIKO0SL.jpg
15615,10395,Wolf,Fantasy Drama Horror,Aging publisher Will Randall is at the end of his rope when a younger co-worker snatches his job out from under his nose. But after being bitten by a wolf Will suddenly finds himself full of youthful vigor. As he struggles to regain his position he becomes enthralled with Laura Alden his former boss's daughter. And as increasingly animal-like urges begin to overwhelm him Randall worries that he may be turning into the creature that bit him.,1994-06-17,JackNicholson MichellePfeiffer JamesSpader KateNelligan RichardJenkins,/8ocZb9x6rN82i8ZzZ05j1vWKVOC.jpg
15620,191720,Jodorowsky's Dune,Documentary,Shot in France England Switzerland and the United States this documentary covers director Alejandro Jodorowsky (El Topo Holy Mountain Santa Sangre) and his 1974 Quixotic attempt to adapt the seminal sci-fi novel Dune into a feature film. After spending 2 years and millions of dollars the massive undertaking eventually fell apart but the artists Jodorowsky assembled for the legendary project continued to work together. This group of artists or his “warriors” as Jodorowsky named them went on to define modern sci-fi cinema with such films as Alien Blade Runner Star Wars and Total Recall.,2013-08-30,AlejandroJodorowsky H.R.Giger BrontisJodorowsky NicolasWindingRefn AmandaLear,/maxjevZcGbfrp55XRk4gcZGeJVd.jpg
15621,653601,Horse Girl,Drama,A socially awkward woman with a fondness for arts and crafts horses and supernatural crime shows finds her increasingly lucid dreams trickling into her waking life.,2020-01-27,AlisonBrie DebbyRyan JohnReynolds MollyShannon JohnOrtiz,/hNQ7st9dFXUXENMcsAuVxcrIBfA.jpg
15622,443009,"Don't Worry, He Won't Get Far on Foot",Comedy Drama,On the rocky path to sobriety after a life-changing accident John Callahan discovers the healing power of art willing his injured hands into drawing hilarious often controversial cartoons which bring him a new lease on life.,2018-04-04,JoaquinPhoenix JonahHill RooneyMara JackBlack TonyGreenhand,/rKsiN37qMt8jad5GikZzSeevyI9.jpg
15623,19494,Nine to Five,Comedy,Frank Hart is a pig. He takes advantage in the grossest manner of the women who work with him. When his three assistants manage to trap him in his own house they assume control of his department and productivity leaps but just how long can they keep Hart tied up?,1980-12-18,JaneFonda LilyTomlin DollyParton DabneyColeman SterlingHayden,/3nm6kWMFzxGtJb4UEuDB0lDWpcD.jpg
15636,13249,Seraphim Falls,Western Action Drama,The Civil War has ended but Colonel Morsman Carver is on one final mission – to kill Gideon no matter what it takes. Launched by a gunshot and propelled by rage the relentless pursuit takes the two men through frigid snow-capped mountains and arid deserts far from the comforts and codes of civilisation into the bloodiest recesses of their own souls.,2006-09-13,LiamNeeson PierceBrosnan MichaelWincott XanderBerkeley EdLauter,/3WCcrCYq9mCyFGLpgx2IwhpURTe.jpg
15639,315880,Correspondence,Drama Romance,The relationship between Ed a married astronomer and Amy his lover who spend their years apart is based only on phone calls and texts. One day Amy begins noticing something strange in Ed's messages.,2016-01-14,JeremyIrons OlgaKurylenko SimonJohns ShaunaMacdonald SimonMeacock,/juvp46Hjpz0FksOXvV28pYM11BK.jpg
15652,11010,The Postman,Comedy Drama Romance,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,1994-04-07,MassimoTroisi PhilippeNoiret MariaGraziaCucinotta RenatoScarpa LindaMoretti,/cUaCpjVDefYShKyLmkcDsiPaBHn.jpg
15655,11185,"See No Evil, Hear No Evil",Comedy Crime,A murder takes place in the shop of David Lyons a deaf man who fails to hear the gunshot being fired. Outside blind man Wally Karue hears the shot but cannot see the perpetrator. Both are arrested but escape to form an unlikely partnership. Being chased by both the law AND the original killers can the pair work together to outwit them all?,1989-05-12,RichardPryor GeneWilder JoanSeverance KevinSpacey AlanNorth,/2eX1RUVj4mIGJTX5p8fJ0SSIcn4.jpg
15658,152790,The Angriest Man in Brooklyn,Drama Comedy,After learning that a brain aneurysm will kill him in about 90 minutes a perpetually unhappy man struggles to come to terms with his fate and make amends with everyone he has ever hurt.,2014-05-23,RobinWilliams MilaKunis PeterDinklage MelissaLeo JamesEarlJones,/v0tiYRNhMYbefWlgWFmbhXiOwjr.jpg
15666,571495,The Ruthless,Crime Drama,Milan Italy 1967. Santo Russo a boy of Calabrian origin arrives north with his parents and younger brother to find better living conditions. Due to an absurd misunderstanding and his father's contempt Santo ends up in prison where he gets a “true education.” In 1978 he and his friends Slim and Mario embark on a 15-year criminal career a successful and ruthless spiral of robberies kidnappings murders and heroin smuggling.,2019-04-08,RiccardoScamarcio SaraSerraiocco AlessioPraticò AlessandroTedeschi Marie,/tlm4Jtl8WJfoW2jg52f5ewKQWym.jpg
15670,144340,Admission,Comedy Drama Romance,Straitlaced Princeton University admissions officer Portia Nathan is caught off-guard when she makes a recruiting visit to an alternative high school overseen by her former college classmate the freewheeling John Pressman. Pressman has surmised that Jeremiah his gifted yet very unconventional student might well be the son that Portia secretly gave up for adoption many years ago.,2013-03-21,TinaFey PaulRudd MichaelSheen LilyTomlin WallaceShawn,/8MwiU714GL3WoNxreeHjZ01iPpM.jpg
15684,118289,Diana,Drama Romance,During the last two years of her life Princess Diana campaigns against the use of land mines and has a secret love affair with a Pakistani heart surgeon.,2013-09-19,NaomiWatts NaveenAndrews CharlesEdwards DouglasHodge CasAnvar,/a2fdd9ZcWeIh13PPNPnxKs2tbXm.jpg
15686,82679,Fun Size,Comedy,Wren is invited to a Halloween party by her crush Aaron Riley but she is also forced by her mother to take her oddball little brother Albert with her when she goes out trick-or-treating on Halloween. When she goes to the party instead she loses him and must find him before her mother finds out.,2012-10-24,VictoriaJustice JaneLevy ThomasMann ThomasMcDonell ChelseaHandler,/h9DYic4zo3Oweb11009FmqZBxN4.jpg
15695,429467,The Lodgers,Horror Thriller Mystery,1920 rural Ireland. Anglo-Irish twins Rachel and Edward share a strange existence in their crumbling family estate. Each night the property becomes the domain of a sinister presence (The Lodgers) which enforces three rules upon the twins: they must be in bed by midnight; they may not permit an outsider past the threshold; and if one attempts to escape the life of the other is placed in jeopardy. When troubled war veteran Sean returns to the nearby village he is immediately drawn to the mysterious Rachel who in turn begins to break the rules set out by The Lodgers. The consequences pull Rachel into a deadly confrontation with her brother - and with the curse that haunts them.,2017-10-05,CharlotteVega BillMilner EugeneSimon DavidBradley MoeDunford,/qoqFM6t9wlBITWKRogJUompoClh.jpg
15696,204349,Contracted,Horror Thriller,After being drugged and raped at a party a young woman contracts what she thinks is an STD but it's actually something much worse.,2013-07-07,NajarraTownsend CarolineWilliams KatieStegeman AliceMacdonald MattMercer,/fHtkFCkut6Qt8pfUBSpEKmK1fRT.jpg
15700,27632,Black Sunday,Horror,A vengeful witch and her fiendish servant return from the grave and begin a bloody campaign to possess the body of the witch's beautiful look-alike descendant. Only the girl's brother and a handsome doctor stand in her way.,1960-08-11,BarbaraSteele JohnRichardson AndreaChecchi IvoGarrani ArturoDominici,/7W8uSI5jclTERrnDJXtm3pZfr4.jpg
15702,573,Frenzy,Crime Thriller Horror,After a serial killer strangles several women with a necktie London police identify a suspect—but he claims vehemently to be the wrong man.,1972-05-25,JonFinch BarryFoster BarbaraLeigh Hunt AnnaMassey,/4SFvqrlSigAt9tnhXFSMyKeJWQk.jpg
15707,157834,The Zero Theorem,Drama Fantasy Science Fiction,A computer hacker's goal to discover the reason for human existence continually finds his work interrupted thanks to the Management; this time they send a teenager and lusty love interest to distract him.,2013-09-20,ChristophWaltz DavidThewlis MélanieThierry LucasHedges MattDamon,/j2sEI9FOaJszidVatzIaaMPdLsm.jpg
15710,11447,The Son's Room,Drama,A psychoanalyst and his family go through profound emotional trauma when their son dies in a scuba diving accident.,2001-03-09,NanniMoretti LauraMorante JasmineTrinca GiuseppeSanfelice SilvioOrlando,/v4uF970cf5QTAqhx1ruSntMoq9P.jpg
15712,389868,Seoul Station,Animation Horror Action Thriller,"In this animated prequel to ""Train to Busan"" a group of survivors deals with a zombie pandemic that unleashes itself in downtown Seoul.",2016-08-17,RyuSeung ryong ShimEun kyung LeeJoon,/vJgRo5EJMYPzBcljlIlUxBAlucL.jpg
15719,982,The Manchurian Candidate,Thriller Drama Mystery,Near the end of the Korean War a platoon of U.S. soldiers is captured by communists and brainwashed. Following the war the platoon is returned home and Sergeant Raymond Shaw is lauded as a hero by the rest of his platoon. However the platoon commander Captain Bennett Marco finds himself plagued by strange nightmares and soon races to uncover a terrible plot.,1962-10-01,FrankSinatra LaurenceHarvey AngelaLansbury JamesGregory JanetLeigh,/2xQ856kd9hw6bB3OnusGyTvvkwB.jpg
15720,271736,The Program,Drama,An Irish sports journalist becomes convinced that Lance Armstrong's performances during the Tour de France victories are fueled by banned substances. With this conviction he starts hunting for evidence that will expose Armstrong.,2015-09-16,BenFoster ChrisO'Dowd GuillaumeCanet JessePlemons LeePace,/7qb8L1SydRGGc3cuN0EUvOqLnCB.jpg
15723,24382,Big Deal on Madonna Street,Comedy Crime,Best friends Peppe and Mario are thieves but they're not very good at it. Still Peppe thinks that he's finally devised a master heist that will make them rich. With the help of some fellow criminals he plans to dig a tunnel from a rented apartment to the pawnshop next door where they can rob the safe. But his plan is far from foolproof and the fact that no one in the group has any experience digging tunnels proves to be the least of their problems.,1958-07-26,VittorioGassman RenatoSalvatori MemmoCarotenuto RossanaRory CarlaGravina,/f5OxD8Nl0pR3DcYHtYhHRfpsmjl.jpg
15725,339994,The Good Neighbor,Drama Crime Thriller Horror,Two high school filmmakers decide to create the illusion of a haunting on an unsuspecting neighbor.,2016-09-16,LoganMiller KeirGilchrist JamesCaan BaileyNoble LiliReinhart,/ub0hBxjkfOUoymQR3NOWIVH400A.jpg
15738,16305,Sullivan's Travels,Adventure Comedy Romance,"Successful movie director John L. Sullivan convinced he won't be able to film his ambitious masterpiece until he has suffered dons a hobo disguise and sets off on a journey aiming to ""know trouble"" first-hand. When all he finds is a train ride back to Hollywood and a beautiful blonde companion he redoubles his efforts managing to land himself in more trouble than he bargained for when he loses his memory and ends up a prisoner on a chain gang.",1941-11-30,JoelMcCrea VeronicaLake RobertWarwick WilliamDemarest FranklinPangborn,/z5cqIM0ysVjkCmaDfyTQnlozdIp.jpg
15741,81342,Delicacy,Drama Comedy Romance,A French woman mourning over the death of her husband three years prior is courted by a Swedish co-worker.,2011-12-20,AudreyTautou FrançoisDamiens MélanieBernier JoséphinedeMeaux PioMarmaï,/1pc9cMMt7Hs4z8fOOzsOLe3MjNX.jpg
15745,290542,You're Not You,Drama,A drama centered on a classical pianist who has been diagnosed with ALS and the brash college student who becomes her caregiver.,2014-10-10,HilarySwank EmmyRossum JoshDuhamel StephanieBeatriz JasonRitter,/jvrdukoeCuVckHlbAxU0MPoIzPI.jpg
15746,11202,Patton,War Drama History,"""Patton"" tells the tale of General George S. Patton famous tank commander of World War II. The film begins with patton's career in North Africa and progresses through the invasion of Germany and the fall of the Third Reich. Side plots also speak of Patton's numerous faults such his temper and habit towards insubordination.",1970-01-25,GeorgeC.Scott StephenYoung FrankLatimore KarlMichaelVogler KarlMalden,/rLM7jIEPTjj4CF7F1IrzzNjLUCu.jpg
15749,166,The Party,Drama Romance Comedy,A thirteen-year-old French girl deals with moving to a new city and school in Paris while at the same time her parents are getting a divorce.,1980-12-17,ClaudeBrasseur BrigitteFossey SophieMarceau DeniseGrey Jean,/9MWrgGzJ3eBemfAaOr9sof206CW.jpg
15750,40096,A Dog's Will,Comedy Drama Fantasy,The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small in Northeastern Brazil. When they die they have to be judged by Christ the Devil and the Virgin Mary before they are admitted to paradise.,2000-09-15,MatheusNachtergaele SeltonMello RogérioCardoso DeniseFraga DiogoVilela,/imcOp1kJsCsAFCoOtY5OnPrFbAf.jpg
15754,9785,The Invisible,Fantasy Thriller,After an attack leaves him in limbo -- invisible to the living and also near death -- a teenager discovers the only person who might be able help him is his attacker.,2007-04-27,JustinChatwin MargaritaLevieva MarciaGayHarden AlexO'Loughlin MichelleHarrison,/vSJloUNJSKWJzQ4RbxBFKOA2p2m.jpg
15755,483983,Balloon,Drama History Thriller,Two families attempt a daredevil plan to escape the GDR with a homemade hot air balloon but it crashes just before the border. The Stasi finds traces of this attempt to escape and immediately starts investigations while the two families are forced to build a new escape balloon. With each passing day the Stasi is closer on their heels – a nerve-wracking race against time begins.,2018-09-27,KarolineSchuch FriedrichMücke AliciavonRittberg DavidKross JonasHoldenrieder,/nRs8A0zp0jU211j8Zay3ApIzlpx.jpg
15756,344268,The New Adventures of Aladdin,Comedy Adventure,A pair of losers working at department store plan to rob the place after it closes. When a bunch of kids show up begging for a story the men launch into an improvised version of Aladdin.,2015-10-14,KevAdams EricJudor Jean PaulRouve VanessaGuide,/el4obM1DT1o4k7xGowuhtrUmW13.jpg
15759,10223,A Simple Plan,Crime Thriller,Captivated by the lure of sudden wealth the quiet rural lives of two brothers erupt into conflicts of greed paranoia and distrust when over $4 million in cash is discovered at the remote site of a downed small airplane. Their simple plan to retain the money while avoiding detection opens a Pandora's box when the fear of getting caught triggers panicked behavior and leads to virulent consequences.,1998-12-11,BillPaxton BillyBobThornton BridgetFonda BrentBriscoe JackWalsh,/wO2gH7DMqpMeHlj5QmDhW4IkgAr.jpg
15760,332794,The Odyssey,Adventure Drama,The aquatic adventure of the highly influential and fearlessly ambitious pioneer innovator filmmaker researcher and conservationist Jacques-Yves Cousteau covers roughly thirty years of an inarguably rich in achievements life.,2016-10-12,LambertWilson PierreNiney AudreyTautou LaurentLucas BenjaminLavernhe,/oerzjTh9x226CJUJluIVqgYcOH9.jpg
15776,827,Diabolique,Drama Horror Thriller,The cruel and abusive headmaster of a boarding school Michel Delassalle is murdered by an unlikely duo -- his meek wife and the mistress he brazenly flaunts. The women become increasingly unhinged by a series of odd occurrences after Delassalle's corpse mysteriously disappears.,1955-01-29,VéraClouzot SimoneSignoret JeanBrochard PierreLarquey MichelSerrault,/pNcwhz3Eyfn3KQ2XykTozbARMpr.jpg
15777,10707,The Squid and the Whale,Comedy Drama,Based on the true childhood experiences of Noah Baumbach and his brother The Squid and the Whale tells the touching story of two young boys dealing with their parents' divorce in Brooklyn in the 1980s.,2005-10-05,JeffDaniels LauraLinney JesseEisenberg OwenKline WilliamBaldwin,/9NbXn1NMdfGM491V3EFjZADR9SX.jpg
15779,9075,Black Book,Drama Thriller War,In the Nazi-occupied Netherlands during World War II a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.,2006-09-14,CaricevanHouten SebastianKoch ThomHoffman HalinaReijn WaldemarKobus,/2nvdrMZ9TvTYglDsISZU38ycbn4.jpg
15785,45650,The Hole,Thriller Adventure Fantasy,After moving into a new neighbourhood brothers Dane &amp; Lucas and their neighbour Julie discover a bottomless hole in the basement of their home. They find that once the hole is exposed evil is unleashed. With strange shadows lurking around every corner and nightmares coming to life they are forced to come face to face with their darkest fears to put an end to the mystery of THE HOLE.,2009-09-09,ChrisMassoglia NathanGamble HaleyBennett TeriPolo BruceDern,/tQMxsrsVtpB2D2n01nUqgOMmSWD.jpg
15791,9586,The Bonfire of the Vanities,Crime Comedy Drama,After his mistress runs over a black teen a Wall Street hotshot sees his life unravel in the spotlight; A down-and-out reporter breaks the story and opportunists clamber to use it to their advantage.,1990-12-21,TomHanks BruceWillis MelanieGriffith KimCattrall SaulRubinek,/pdrPrygZ5dVKi8UxrUXMmq1k2iO.jpg
15798,13666,The Wolf Man,Horror Drama,After his brother's death Larry Talbot returns home to his father and the family estate. Events soon take a turn for the worse when Larry is bitten by a werewolf.,1941-12-12,LonChaneyJr. EvelynAnkers ClaudeRains RalphBellamy MariaOuspenskaya,/vG8fu5syTtQLzK1hQXyi3ugOPNF.jpg
15801,11159,Secrets & Lies,Drama,With both her adoptive parents now dead a black optometrist decides to make contact with her birth mother but is shocked to find out that she is white.,1996-05-24,BrendaBlethyn MarianneJean Baptiste TimothySpall PhyllisLogan,/mfWfW6DfD4oBTFmGAndaTkuPUO5.jpg
