index,id,title,genres,overview,release_date,credits,poster_path
87,663712,Terrifier 2,Horror,After being resurrected by a sinister entity Art the Clown returns to Miles County where he must hunt down and destroy a teenage girl and her younger brother on Halloween night.  As the body count rises the siblings fight to stay alive while uncovering the true nature of Art's evil intent.,2022-10-06,LaurenLaVera DavidHowardThornton ElliottFullam SarahVoigt KaileyHyman,/8gLhu8UFPZfH2Hv11JhTZkb9CVl.jpg
92,480530,Creed II,Drama,Between personal obligations and training for his next big fight against an opponent with ties to his family's past Adonis Creed is up against the challenge of his life.,2018-11-21,MichaelB.Jordan SylvesterStallone TessaThompson WoodHarris RussellHornsby,/v3QyboWRoA4O9RbcsqH8tJMe8EB.jpg
93,507086,Jurassic World Dominion,Adventure Action Science Fiction,Four years after the destruction of Isla Nublar Biosyn operatives attempt to track down Maisie Lockwood while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.,2022-06-01,ChrisPratt BryceDallasHoward LauraDern JeffGoldblum SamNeill,/kAVRgw7GgK1CfYEJq8ME6EvRIgU.jpg
95,810693,Jujutsu Kaisen 0,Animation Action Fantasy,Yuta Okkotsu is a nervous high school student who is suffering from a serious problem—his childhood friend Rika has turned into a curse and won't leave him alone. Since Rika is no ordinary curse his plight is noticed by Satoru Gojo a teacher at Jujutsu High a school where fledgling exorcists learn how to combat curses. Gojo convinces Yuta to enroll but can he learn enough in time to confront the curse that haunts him?,2021-12-24,MegumiOgata KanaHanazawa YuichiNakamura TakahiroSakurai MikakoKomatsu,/23oJaeBh0FDk2mQ2P240PU9Xxfh.jpg
96,312221,Creed,Drama,The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson the son of his late friend and former rival Apollo Creed.,2015-11-25,MichaelB.Jordan SylvesterStallone TessaThompson PhyliciaRashād AndreWard,/1BfTsk5VWuw8FCocAhCyqnRbEzq.jpg
97,877269,Strange World,Animation Family Adventure Science Fiction,A journey deep into an uncharted and treacherous land where fantastical creatures await the legendary Clades—a family of explorers whose differences threaten to topple their latest and by far most crucial mission.,2022-11-23,JakeGyllenhaal DennisQuaid JaboukieYoung White GabrielleUnion,/fHMqfsYyl3lskPK2RiFRwhzwuep.jpg
98,877703,Teen Wolf: The Movie,Action Fantasy TV Movie,The wolves are howling once again as a terrifying ancient evil emerges in Beacon Hills. Scott McCall no longer a teenager yet still an Alpha must gather new allies and reunite trusted friends to fight back against this powerful and deadly enemy.,2023-01-18,TylerPosey CrystalReed HollandRoden TylerHoechlin ShelleyHennig,/wAkpPm3wcHRqZl8XjUI3Y2chYq2.jpg
99,760741,Beast,Thriller,A recently widowed man and his two teenage daughters travel to a game reserve in South Africa. However their journey of healing soon turns into a fight for survival when a bloodthirsty lion starts to stalk them.,2022-08-11,IdrisElba LeahSavaJeffries IyanaHalley SharltoCopley MartinMunro,/xIGr7UHsKf0URWmyyd5qFMAq4d8.jpg
102,299536,Avengers: Infinity War,Adventure Action Science Fiction,As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy his goal is to collect all six Infinity Stones artifacts of unimaginable power and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.,2018-04-25,RobertDowneyJr. ChrisHemsworth MarkRuffalo ChrisEvans ScarlettJohansson,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg
105,610150,Dragon Ball Super: Super Hero,Animation Science Fiction Action,The Red Ribbon Army an evil organization that was once destroyed by Goku in the past has been reformed by a group of people who have created new and mightier Androids Gamma 1 and Gamma 2 and seek vengeance against Goku and his family.,2022-06-11,MasakoNozawa ToshioFurukawa YukoMinaguchi HiroshiKamiya MamoruMiyano,/rugyJdeoJm7cSJL1q4jBpTNbxyU.jpg
